# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.357072564898e-02       1.437914974300e+04 
       1.370024617447e-02       1.440480123200e+04 
       1.382980307283e-02       1.442916239009e+04 
       1.395939646367e-02       1.445232405971e+04 
       1.408902648959e-02       1.447423700795e+04 
       1.421869331580e-02       1.449489193088e+04 
       1.434839712984e-02       1.451441636266e+04 
       1.447813814122e-02       1.453269596461e+04 
       1.460791658119e-02       1.454985260419e+04 
       1.473773270254e-02       1.456582052187e+04 
       1.486758677935e-02       1.458067809957e+04 
       1.499747910682e-02       1.459438255973e+04 
       1.512741000118e-02       1.460698734592e+04 
       1.525737979950e-02       1.461850809188e+04 
       1.538738885963e-02       1.462893391936e+04 
       1.551743756013e-02       1.463829116011e+04 
       1.564752630020e-02       1.464662852982e+04 
       1.577765549967e-02       1.465388452122e+04 
       1.590782559901e-02       1.466009939542e+04 
       1.603803705930e-02       1.466532253892e+04 
       1.616829036231e-02       1.466956347472e+04 
       1.629858601055e-02       1.467280839690e+04 
       1.642892452731e-02       1.467503903880e+04 
       1.655930645679e-02       1.467636050461e+04 
       1.668973236422e-02       1.467654597397e+04 
       1.682020283596e-02       1.467597762987e+04 
       1.695071847966e-02       1.467445500479e+04 
       1.708127992444e-02       1.467222872965e+04 
       1.721188782106e-02       1.466888449896e+04 
       1.734254284213e-02       1.466471421376e+04 
       1.747324568231e-02       1.465964098522e+04 
       1.760399705858e-02       1.465371673038e+04 
       1.773479771045e-02       1.464696591046e+04 
       1.786564840027e-02       1.463935982258e+04 
       1.799654991347e-02       1.463078385093e+04 
       1.812750305891e-02       1.462171285505e+04 
       1.825850866915e-02       1.461149599041e+04 
       1.838956760084e-02       1.460084133026e+04 
       1.852068073501e-02       1.458928093652e+04 
       1.865184897749e-02       1.457692114621e+04 
       1.878307325927e-02       1.456381914832e+04 
       1.891435453690e-02       1.454998538044e+04 
       1.904569379293e-02       1.453540989300e+04 
       1.917709203633e-02       1.451976320031e+04 
       1.930855030296e-02       1.450387490410e+04 
       1.944006965601e-02       1.448739468713e+04 
       1.957165118653e-02       1.447004367455e+04 
       1.970329601393e-02       1.445200971239e+04 
       1.983500528649e-02       1.443329135460e+04 
       1.996678018191e-02       1.441391445414e+04 
       2.009862190791e-02       1.439369984794e+04 
       2.023053170277e-02       1.437297903697e+04 
       2.036251083596e-02       1.435203610978e+04 
