# Matter power spectrum P(k) at redshift z=0
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.357072564898e-02       2.429813746980e+04 
       1.370024617447e-02       2.434159151557e+04 
       1.382980307283e-02       2.438271396166e+04 
       1.395939646367e-02       2.442184177572e+04 
       1.408902648959e-02       2.445890442937e+04 
       1.421869331580e-02       2.449380092559e+04 
       1.434839712984e-02       2.452679983138e+04 
       1.447813814122e-02       2.455762468834e+04 
       1.460791658119e-02       2.458664758056e+04 
       1.473773270254e-02       2.461362328503e+04 
       1.486758677935e-02       2.463874243799e+04 
       1.499747910682e-02       2.466186283738e+04 
       1.512741000118e-02       2.468320685790e+04 
       1.525737979950e-02       2.470268580707e+04 
       1.538738885963e-02       2.472026727558e+04 
       1.551743756013e-02       2.473608439190e+04 
       1.564752630020e-02       2.475021347486e+04 
       1.577765549967e-02       2.476247731772e+04 
       1.590782559901e-02       2.477295604995e+04 
       1.603803705930e-02       2.478174549685e+04 
       1.616829036231e-02       2.478897523237e+04 
       1.629858601055e-02       2.479437827974e+04 
       1.642892452731e-02       2.479816945563e+04 
       1.655930645679e-02       2.480041675005e+04 
       1.668973236422e-02       2.480007135488e+04 
       1.682020283596e-02       2.479945196218e+04 
       1.695071847966e-02       2.479665262378e+04 
       1.708127992444e-02       2.479339373587e+04 
       1.721188782106e-02       2.478779953569e+04 
       1.734254284213e-02       2.478074586120e+04 
       1.747324568231e-02       2.477215841923e+04 
       1.760399705858e-02       2.476216731435e+04 
       1.773479771045e-02       2.475070753295e+04 
       1.786564840027e-02       2.473793053968e+04 
       1.799654991347e-02       2.472319585429e+04 
       1.812750305891e-02       2.470807308481e+04 
       1.825850866915e-02       2.469019414404e+04 
       1.838956760084e-02       2.467275777204e+04 
       1.852068073501e-02       2.465330383924e+04 
       1.865184897749e-02       2.463241956063e+04 
       1.878307325927e-02       2.461027324139e+04 
       1.891435453690e-02       2.458689995502e+04 
       1.904569379293e-02       2.456227192571e+04 
       1.917709203633e-02       2.453567753899e+04 
       1.930855030296e-02       2.450854433138e+04 
       1.944006965601e-02       2.448111369116e+04 
       1.957165118653e-02       2.445180918230e+04 
       1.970329601393e-02       2.442133701214e+04 
       1.983500528649e-02       2.438957178682e+04 
       1.996678018191e-02       2.435702628246e+04 
       2.009862190791e-02       2.432262814553e+04 
       2.023053170277e-02       2.428765041431e+04 
       2.036251083596e-02       2.425230031499e+04 
       2.049456060877e-02       2.421550172589e+04 
       2.062668235494e-02       2.417664450971e+04 
       2.075887744137e-02       2.413849706837e+04 
       2.089114726874e-02       2.409791511356e+04 
       2.102349327230e-02       2.405779036105e+04 
       2.115591692256e-02       2.401593057402e+04 
       2.128841972607e-02       2.397227086730e+04 
       2.142100322619e-02       2.392859748814e+04 
       2.155366900392e-02       2.388417661107e+04 
       2.168641867873e-02       2.383968077780e+04 
       2.181925390940e-02       2.379260922026e+04 
       2.195217639494e-02       2.374551002807e+04 
       2.208518787548e-02       2.369737491955e+04 
       2.221829013325e-02       2.364877010450e+04 
       2.235148499353e-02       2.359920323040e+04 
       2.248477432565e-02       2.354964676714e+04 
       2.261816004403e-02       2.349856171126e+04 
       2.275164410930e-02       2.344664756858e+04 
       2.288522852932e-02       2.339341262464e+04 
       2.301891536037e-02       2.334024215225e+04 
       2.315270670832e-02       2.328617989243e+04 
       2.328660472984e-02       2.323215104146e+04 
       2.342061163362e-02       2.317617457739e+04 
       2.355472968169e-02       2.312075947024e+04 
       2.368896119074e-02       2.306411592035e+04 
       2.382330853348e-02       2.300614754412e+04 
       2.395777414007e-02       2.294824516081e+04 
       2.409236049956e-02       2.288970792982e+04 
       2.422707016141e-02       2.283143027521e+04 
       2.436190573704e-02       2.277103272353e+04 
       2.449686990143e-02       2.271147839430e+04 
       2.463196539478e-02       2.265069886003e+04 
       2.476719502422e-02       2.258906092773e+04 
       2.490256166557e-02       2.252678130697e+04 
       2.503806826517e-02       2.246440338760e+04 
       2.517371784176e-02       2.240202703027e+04 
       2.530951348841e-02       2.233832469563e+04 
       2.544545837456e-02       2.227436461689e+04 
       2.558155574809e-02       2.221007261977e+04 
       2.571780893744e-02       2.214551318950e+04 
       2.585422135386e-02       2.208046076477e+04 
       2.599079649370e-02       2.201483564701e+04 
       2.612753794076e-02       2.194916062416e+04 
       2.626444936879e-02       2.188241781212e+04 
       2.640153454398e-02       2.181577660025e+04 
       2.653879732764e-02       2.174842990974e+04 
       2.667624167887e-02       2.168081112658e+04 
       2.681387165741e-02       2.161297089143e+04 
       2.695169142657e-02       2.154467729039e+04 
       2.708970525619e-02       2.147629840459e+04 
       2.722791752585e-02       2.140726918829e+04 
       2.736633272804e-02       2.133843687750e+04 
       2.750495547159e-02       2.126863301848e+04 
       2.764379048508e-02       2.119907416440e+04 
       2.778284262052e-02       2.112893101352e+04 
       2.792211685707e-02       2.105834512368e+04 
       2.806161830491e-02       2.098773814606e+04 
       2.820135220932e-02       2.091693471606e+04 
       2.834132395484e-02       2.084572535548e+04 
       2.848153906961e-02       2.077436450816e+04 
       2.862200322990e-02       2.070281617376e+04 
       2.876272226483e-02       2.063104216114e+04 
       2.890370216121e-02       2.055903284055e+04 
       2.904494906860e-02       2.048725464556e+04 
       2.918646930465e-02       2.041465533833e+04 
       2.932826936051e-02       2.034181595135e+04 
       2.947035590656e-02       2.026909842107e+04 
