# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
   70       2.505313492450e-10       4.406721413098e-14      -7.689436647342e-13       0.000000000000e+00 
   71       2.538222950992e-10       4.584054714837e-14      -8.292617375398e-13       0.000000000000e+00 
   72       2.571419766424e-10       4.764341034966e-14      -8.912780905845e-13       0.000000000000e+00 
   73       2.604913741025e-10       4.947470089877e-14      -9.549625036576e-13       0.000000000000e+00 
   74       2.638717117360e-10       5.133321188379e-14      -1.020271327438e-12       0.000000000000e+00 
   75       2.672838645143e-10       5.321766225865e-14      -1.087156780963e-12       0.000000000000e+00 
   76       2.707283358782e-10       5.512669569955e-14      -1.155566873437e-12       0.000000000000e+00 
   77       2.742052354908e-10       5.705887946130e-14      -1.225445326045e-12       0.000000000000e+00 
   78       2.777142569911e-10       5.901270323373e-14      -1.296731493761e-12       0.000000000000e+00 
   79       2.812546557478e-10       6.098657799809e-14      -1.369360287159e-12       0.000000000000e+00 
   80       2.848256739944e-10       6.297888594668e-14      -1.443267907933e-12       0.000000000000e+00 
   81       2.884279502063e-10       6.498814274169e-14      -1.518410374576e-12       0.000000000000e+00 
   82       2.920623150195e-10       6.701286147946e-14      -1.594748086310e-12       0.000000000000e+00 
   83       2.957293518415e-10       6.905150393509e-14      -1.672240324150e-12       0.000000000000e+00 
   84       2.994293828898e-10       7.110248036452e-14      -1.750845280378e-12       0.000000000000e+00 
   85       3.031624552301e-10       7.316414930643e-14      -1.830520088014e-12       0.000000000000e+00 
   86       3.069283268149e-10       7.523481738435e-14      -1.911220850288e-12       0.000000000000e+00 
   87       3.107264525217e-10       7.731273910858e-14      -1.992902670111e-12       0.000000000000e+00 
   88       3.145559701915e-10       7.939611667826e-14      -2.075519679551e-12       0.000000000000e+00 
   89       3.184160229403e-10       8.148312511527e-14      -2.159023530454e-12       0.000000000000e+00 
   90       3.223068144716e-10       8.357199261611e-14      -2.243358530742e-12       0.000000000000e+00 
   91       3.262286943555e-10       8.566093249851e-14      -2.328465795911e-12       0.000000000000e+00 
   92       3.301818276927e-10       8.774811917049e-14      -2.414284726282e-12       0.000000000000e+00 
   93       3.341661861906e-10       8.983168831187e-14      -2.500753013426e-12       0.000000000000e+00 
   94       3.381815392400e-10       9.190973705582e-14      -2.587806646575e-12       0.000000000000e+00 
   95       3.422274449907e-10       9.398032417036e-14      -2.675379919045e-12       0.000000000000e+00 
   96       3.463032414279e-10       9.604147023983e-14      -2.763405434652e-12       0.000000000000e+00 
   97       3.504080374482e-10       9.809115784644e-14      -2.851814114129e-12       0.000000000000e+00 
   98       3.545407039361e-10       1.001273317518e-13      -2.940535201547e-12       0.000000000000e+00 
   99       3.587001556759e-10       1.021479457636e-13      -3.029497610270e-12       0.000000000000e+00 
  100       3.628862619397e-10       1.041511105182e-13      -3.118634164468e-12       0.000000000000e+00 
  101       3.670990488987e-10       1.061349670650e-13      -3.207877973100e-12       0.000000000000e+00 
  102       3.713384149633e-10       1.080976427862e-13      -3.297161166335e-12       0.000000000000e+00 
  103       3.756041253843e-10       1.100372521442e-13      -3.386414918211e-12       0.000000000000e+00 
  104       3.798958068548e-10       1.119518974294e-13      -3.475569469288e-12       0.000000000000e+00 
  105       3.842129421111e-10       1.138396695071e-13      -3.564554149304e-12       0.000000000000e+00 
  106       3.885548645349e-10       1.156986485651e-13      -3.653297399831e-12       0.000000000000e+00 
  107       3.929207527538e-10       1.175269048613e-13      -3.741726796925e-12       0.000000000000e+00 
  108       3.973096252435e-10       1.193224994706e-13      -3.829769073788e-12       0.000000000000e+00 
  109       4.017203349290e-10       1.210834850330e-13      -3.917350143418e-12       0.000000000000e+00 
  110       4.061517622652e-10       1.228079550823e-13      -4.004395683151e-12       0.000000000000e+00 
  111       4.106034341458e-10       1.244941976080e-13      -4.090832924699e-12       0.000000000000e+00 
  112       4.150749744669e-10       1.261405626362e-13      -4.176589136662e-12       0.000000000000e+00 
  113       4.195659093195e-10       1.277454166154e-13      -4.261591110975e-12       0.000000000000e+00 
  114       4.240756635421e-10       1.293071436410e-13      -4.345765191083e-12       0.000000000000e+00 
  115       4.286035572724e-10       1.308241466807e-13      -4.429037300121e-12       0.000000000000e+00 
  116       4.331488024995e-10       1.322948487987e-13      -4.511332969090e-12       0.000000000000e+00 
  117       4.377104996162e-10       1.337176943811e-13      -4.592577365033e-12       0.000000000000e+00 
  118       4.422876339707e-10       1.350911503605e-13      -4.672695319213e-12       0.000000000000e+00 
  119       4.468790724191e-10       1.364137074410e-13      -4.751611355292e-12       0.000000000000e+00 
  120       4.514835598775e-10       1.376838813226e-13      -4.829249717506e-12       0.000000000000e+00 
  121       4.560997158737e-10       1.389002139270e-13      -4.905534398841e-12       0.000000000000e+00 
  122       4.607260310996e-10       1.400612746213e-13      -4.980389169213e-12       0.000000000000e+00 
  123       4.653610478411e-10       1.411657089380e-13      -5.053738543373e-12       0.000000000000e+00 
  124       4.700039320812e-10       1.422123884589e-13      -5.125510750513e-12       0.000000000000e+00 
  125       4.746539609295e-10       1.432002805387e-13      -5.195635160502e-12       0.000000000000e+00 
  126       4.793103426503e-10       1.441284039345e-13      -5.264041409924e-12       0.000000000000e+00 
  127       4.839722146621e-10       1.449958304051e-13      -5.330659437644e-12       0.000000000000e+00 
  128       4.886386415355e-10       1.458016863089e-13      -5.395419520380e-12       0.000000000000e+00 
  129       4.933086129931e-10       1.465451542030e-13      -5.458252308276e-12       0.000000000000e+00 
  130       4.979810419073e-10       1.472254744411e-13      -5.519088860469e-12       0.000000000000e+00 
  131       5.026547622998e-10       1.478419467728e-13      -5.577860680662e-12       0.000000000000e+00 
  132       5.073285273401e-10       1.483939319414e-13      -5.634499752696e-12       0.000000000000e+00 
  133       5.120010073447e-10       1.488808532828e-13      -5.688938576118e-12       0.000000000000e+00 
  134       5.166707877752e-10       1.493021983240e-13      -5.741110201752e-12       0.000000000000e+00 
  135       5.213363672378e-10       1.496575203818e-13      -5.790948267271e-12       0.000000000000e+00 
  136       5.259961554821e-10       1.499464401610e-13      -5.838387032770e-12       0.000000000000e+00 
  137       5.306486103870e-10       1.501686751972e-13      -5.883362041317e-12       0.000000000000e+00 
  138       5.352926691562e-10       1.503241282403e-13      -5.925812102478e-12       0.000000000000e+00 
  139       5.399273581561e-10       1.504128110903e-13      -5.965677582448e-12       0.000000000000e+00 
  140       5.445516568231e-10       1.504348193326e-13      -6.002899836651e-12       0.000000000000e+00 
  141       5.491644965444e-10       1.503903341131e-13      -6.037421249276e-12       0.000000000000e+00 
  142       5.537647595395e-10       1.502796239138e-13      -6.069185272820e-12       0.000000000000e+00 
  143       5.583512777407e-10       1.501030463277e-13      -6.098136467621e-12       0.000000000000e+00 
  144       5.629228316744e-10       1.498610498343e-13      -6.124220541395e-12       0.000000000000e+00 
  145       5.674781493419e-10       1.495541755747e-13      -6.147384388779e-12       0.000000000000e+00 
  146       5.720159051006e-10       1.491830591271e-13      -6.167576130864e-12       0.000000000000e+00 
  147       5.765347185449e-10       1.487484322819e-13      -6.184745154734e-12       0.000000000000e+00 
  148       5.810331533871e-10       1.482511248168e-13      -6.198842153002e-12       0.000000000000e+00 
  149       5.855097163385e-10       1.476920662726e-13      -6.209819163353e-12       0.000000000000e+00 
  150       5.899628559907e-10       1.470722877278e-13      -6.217629608075e-12       0.000000000000e+00 
  151       5.943909616960e-10       1.463929235744e-13      -6.222228333601e-12       0.000000000000e+00 
  152       5.987923624489e-10       1.456552132929e-13      -6.223571650044e-12       0.000000000000e+00 
  153       6.031654485965e-10       1.448604872665e-13      -6.221617615298e-12       0.000000000000e+00 
  154       6.075090520543e-10       1.440101190035e-13      -6.216326833832e-12       0.000000000000e+00 
  155       6.118220994574e-10       1.431055718388e-13      -6.207661807860e-12       0.000000000000e+00 
  156       6.161034920177e-10       1.421484161757e-13      -6.195586739897e-12       0.000000000000e+00 
  157       6.203521050304e-10       1.411403311800e-13      -6.180067573543e-12       0.000000000000e+00 
  158       6.245667873804e-10       1.400831064735e-13      -6.161072034263e-12       0.000000000000e+00 
  159       6.287463610489e-10       1.389786438286e-13      -6.138569670175e-12       0.000000000000e+00 
  160       6.328896206201e-10       1.378289588620e-13      -6.112531892827e-12       0.000000000000e+00 
  161       6.369953327877e-10       1.366361827286e-13      -6.082932017988e-12       0.000000000000e+00 
  162       6.410622358615e-10       1.354025638155e-13      -6.049745306423e-12       0.000000000000e+00 
  163       6.450890392739e-10       1.341304694362e-13      -6.012949004681e-12       0.000000000000e+00 
  164       6.490744230864e-10       1.328223875243e-13      -5.972522385879e-12       0.000000000000e+00 
  165       6.530170374965e-10       1.314809283276e-13      -5.928446790481e-12       0.000000000000e+00 
  166       6.569155023438e-10       1.301088261020e-13      -5.880705667085e-12       0.000000000000e+00 
  167       6.607684066168e-10       1.287089408058e-13      -5.829284613205e-12       0.000000000000e+00 
  168       6.645743079598e-10       1.272842597931e-13      -5.774171416053e-12       0.000000000000e+00 
  169       6.683317321788e-10       1.258378995082e-13      -5.715356093324e-12       0.000000000000e+00 
  170       6.720391727486e-10       1.243731071797e-13      -5.652830933979e-12       0.000000000000e+00 
  171       6.756951887888e-10       1.228931645146e-13      -5.586589807427e-12       0.000000000000e+00 
  172       6.792987091938e-10       1.214010862250e-13      -5.516625941066e-12       0.000000000000e+00 
  173       6.828487530340e-10       1.198998994934e-13      -5.442934034717e-12       0.000000000000e+00 
  174       6.863443332778e-10       1.183927409941e-13      -5.365511013062e-12       0.000000000000e+00 
  175       6.897844566999e-10       1.168828581870e-13      -5.284356063437e-12       0.000000000000e+00 
  176       6.931681237898e-10       1.153736106120e-13      -5.199470673635e-12       0.000000000000e+00 
  177       6.964943286597e-10       1.138684711830e-13      -5.110858669703e-12       0.000000000000e+00 
  178       6.997620589533e-10       1.123710274821e-13      -5.018526253737e-12       0.000000000000e+00 
  179       7.029702957537e-10       1.108849830538e-13      -4.922482041686e-12       0.000000000000e+00 
  180       7.061180134921e-10       1.094141586989e-13      -4.822737101145e-12       0.000000000000e+00 
  181       7.092041798557e-10       1.079624937690e-13      -4.719304989157e-12       0.000000000000e+00 
  182       7.122277556967e-10       1.065340474604e-13      -4.612201790009e-12       0.000000000000e+00 
  183       7.151876949396e-10       1.051330001083e-13      -4.501446153031e-12       0.000000000000e+00 
  184       7.180829444906e-10       1.037636544809e-13      -4.387059330396e-12       0.000000000000e+00 
  185       7.209124441452e-10       1.024304370737e-13      -4.269065214914e-12       0.000000000000e+00 
  186       7.236751264967e-10       1.011378994035e-13      -4.147490377837e-12       0.000000000000e+00 
  187       7.263699168448e-10       9.989071930258e-14      -4.022364106649e-12       0.000000000000e+00 
  188       7.289957331034e-10       9.869370221271e-14      -3.893718442871e-12       0.000000000000e+00 
  189       7.315514857094e-10       9.755178247959e-14      -3.761588219858e-12       0.000000000000e+00 
  190       7.340360775309e-10       9.647002464675e-14      -3.626011100595e-12       0.000000000000e+00 
  191       7.364484777161e-10       9.545341515017e-14      -3.487025414170e-12       0.000000000000e+00 
  192       7.387879496178e-10       9.450621725540e-14      -3.344663405199e-12       0.000000000000e+00 
  193       7.410538398283e-10       9.363257011536e-14      -3.198957549645e-12       0.000000000000e+00 
  194       7.432455059248e-10       9.283669462298e-14      -3.049942740997e-12       0.000000000000e+00 
  195       7.453623166199e-10       9.212289401946e-14      -2.897656320869e-12       0.000000000000e+00 
  196       7.474036519120e-10       9.149555450261e-14      -2.742138109589e-12       0.000000000000e+00 
  197       7.493689032354e-10       9.095914583510e-14      -2.583430436801e-12       0.000000000000e+00 
  198       7.512574736106e-10       9.051822195271e-14      -2.421578172054e-12       0.000000000000e+00 
  199       7.530687777946e-10       9.017742157268e-14      -2.256628755400e-12       0.000000000000e+00 
  200       7.548022424312e-10       8.994146880191e-14      -2.088632227990e-12       0.000000000000e+00 
  201       7.564573062011e-10       8.981517374531e-14      -1.917641262664e-12       0.000000000000e+00 
  202       7.580334199726e-10       8.980343311403e-14      -1.743711194553e-12       0.000000000000e+00 
  203       7.595300469514e-10       8.991123083378e-14      -1.566900051669e-12       0.000000000000e+00 
  204       7.609466628311e-10       9.014363865307e-14      -1.387268585500e-12       0.000000000000e+00 
  205       7.622827559435e-10       9.050581675153e-14      -1.204880301610e-12       0.000000000000e+00 
  206       7.635378274087e-10       9.100301434816e-14      -1.019801490227e-12       0.000000000000e+00 
  207       7.647113912857e-10       9.164057030963e-14      -8.321012568443e-13       0.000000000000e+00 
  208       7.658029747222e-10       9.242391375854e-14      -6.418515528104e-13       0.000000000000e+00 
  209       7.668121181053e-10       9.335856468172e-14      -4.491272059278e-13       0.000000000000e+00 
  210       7.677383752117e-10       9.445013453851e-14      -2.540059510462e-13       0.000000000000e+00 
  211       7.685813133578e-10       9.570432686901e-14      -5.656846065789e-14       0.000000000000e+00 
  212       7.693405135499e-10       9.712693790241e-14       1.431016245073e-13       0.000000000000e+00 
  213       7.700156086712e-10       9.872352555529e-14       3.449219692920e-13       0.000000000000e+00 
  214       7.706064005969e-10       1.004983903004e-13       5.488247500668e-13       0.000000000000e+00 
  215       7.711127512819e-10       1.024555266199e-13       7.547442818571e-13       0.000000000000e+00 
  216       7.715345456837e-10       1.045989481670e-13       9.626127749420e-13       0.000000000000e+00 
  217       7.718716920134e-10       1.069326875013e-13       1.172360315591e-12       0.000000000000e+00 
  218       7.721241219855e-10       1.094607958238e-13       1.383914846801e-12       0.000000000000e+00 
  219       7.722917910687e-10       1.121873427123e-13       1.597202149034e-12       0.000000000000e+00 
  220       7.723746787365e-10       1.151164158566e-13       1.812145820952e-12       0.000000000000e+00 
  221       7.723727887168e-10       1.182521207941e-13       2.028667260155e-12       0.000000000000e+00 
  222       7.722861492434e-10       1.215985806447e-13       2.246685643918e-12       0.000000000000e+00 
  223       7.721148133054e-10       1.251599358463e-13       2.466117909928e-12       0.000000000000e+00 
  224       7.718588588983e-10       1.289403438899e-13       2.686878737020e-12       0.000000000000e+00 
  225       7.715183892740e-10       1.329439790550e-13       2.908880525915e-12       0.000000000000e+00 
  226       7.710935331917e-10       1.371750321450e-13       3.132033379955e-12       0.000000000000e+00 
  227       7.705844451676e-10       1.416377102220e-13       3.356245085842e-12       0.000000000000e+00 
  228       7.699913057258e-10       1.463362363429e-13       3.581421094373e-12       0.000000000000e+00 
  229       7.693143216488e-10       1.512748492938e-13       3.807464501179e-12       0.000000000000e+00 
  230       7.685537262276e-10       1.564578033258e-13       4.034276027459e-12       0.000000000000e+00 
  231       7.677097795120e-10       1.618893678901e-13       4.261754000718e-12       0.000000000000e+00 
  232       7.667827685616e-10       1.675738273735e-13       4.489794335507e-12       0.000000000000e+00 
  233       7.657730076956e-10       1.735154808332e-13       4.718290514154e-12       0.000000000000e+00 
  234       7.646808387436e-10       1.797186417326e-13       4.947133567505e-12       0.000000000000e+00 
  235       7.635066312956e-10       1.861876376764e-13       5.176212055661e-12       0.000000000000e+00 
  236       7.622507829530e-10       1.929268101457e-13       5.405412048711e-12       0.000000000000e+00 
  237       7.609137195784e-10       1.999405142334e-13       5.634617107473e-12       0.000000000000e+00 
  238       7.594958912282e-10       2.072327237956e-13       5.863714911998e-12       0.000000000000e+00 
  239       7.579977591571e-10       2.148058209081e-13       6.092617632521e-12       0.000000000000e+00 
  240       7.564198085118e-10       2.226617325575e-13       6.321242755291e-12       0.000000000000e+00 
  241       7.547625528186e-10       2.308023175380e-13       6.549506540594e-12       0.000000000000e+00 
  242       7.530265342243e-10       2.392293653540e-13       6.777324017514e-12       0.000000000000e+00 
  243       7.512123237378e-10       2.479445951236e-13       7.004608978689e-12       0.000000000000e+00 
  244       7.493205214714e-10       2.569496544805e-13       7.231273975080e-12       0.000000000000e+00 
  245       7.473517568819e-10       2.662461184778e-13       7.457230310723e-12       0.000000000000e+00 
  246       7.453066890122e-10       2.758354884901e-13       7.682388037500e-12       0.000000000000e+00 
  247       7.431860067323e-10       2.857191911170e-13       7.906655949893e-12       0.000000000000e+00 
  248       7.409904289808e-10       2.958985770852e-13       8.129941579747e-12       0.000000000000e+00 
  249       7.387207050059e-10       3.063749201523e-13       8.352151191032e-12       0.000000000000e+00 
  250       7.363776146073e-10       3.171494160086e-13       8.573189774605e-12       0.000000000000e+00 
  251       7.339619683768e-10       3.282231811809e-13       8.792961042969e-12       0.000000000000e+00 
  252       7.314746079401e-10       3.395972519346e-13       9.011367425035e-12       0.000000000000e+00 
  253       7.289164061979e-10       3.512725831772e-13       9.228310060885e-12       0.000000000000e+00 
  254       7.262882675671e-10       3.632500473606e-13       9.443688796528e-12       0.000000000000e+00 
  255       7.235911282224e-10       3.755304333842e-13       9.657402178669e-12       0.000000000000e+00 
  256       7.208259563372e-10       3.881144454979e-13       9.869347449464e-12       0.000000000000e+00 
  257       7.179937523254e-10       4.010027022047e-13       1.007942054128e-11       0.000000000000e+00 
  258       7.150955490821e-10       4.141957351635e-13       1.028751607147e-11       0.000000000000e+00 
  259       7.121324122255e-10       4.276939880923e-13       1.049352733711e-11       0.000000000000e+00 
  260       7.091054403378e-10       4.414978156708e-13       1.069734630977e-11       0.000000000000e+00 
  261       7.060157652065e-10       4.556074824432e-13       1.089886363031e-11       0.000000000000e+00 
  262       7.028645520659e-10       4.700231617211e-13       1.109796860357e-11       0.000000000000e+00 
  263       6.996529998384e-10       4.847449344867e-13       1.129454919320e-11       0.000000000000e+00 
  264       6.963823413757e-10       4.997727882950e-13       1.148849201637e-11       0.000000000000e+00 
  265       6.930538436999e-10       5.151066161772e-13       1.167968233857e-11       0.000000000000e+00 
  266       6.896687491537e-10       5.307459552517e-13       1.186801202872e-11       0.000000000000e+00 
  267       6.862280948124e-10       5.466891890961e-13       1.205340391382e-11       0.000000000000e+00 
  268       6.827328837346e-10       5.629342999269e-13       1.223578873663e-11       0.000000000000e+00 
  269       6.791841433120e-10       5.794791234629e-13       1.241509732255e-11       0.000000000000e+00 
  270       6.755829254106e-10       5.963213473874e-13       1.259126058781e-11       0.000000000000e+00 
  271       6.719303065121e-10       6.134585098117e-13       1.276420954771e-11       0.000000000000e+00 
  272       6.682273878556e-10       6.308879977383e-13       1.293387532482e-11       0.000000000000e+00 
  273       6.644752955789e-10       6.486070455233e-13       1.310018915718e-11       0.000000000000e+00 
  274       6.606751808599e-10       6.666127333404e-13       1.326308240653e-11       0.000000000000e+00 
  275       6.568282200582e-10       6.849019856429e-13       1.342248656649e-11       0.000000000000e+00 
  276       6.529356148565e-10       7.034715696278e-13       1.357833327083e-11       0.000000000000e+00 
  277       6.489985924019e-10       7.223180936979e-13       1.373055430160e-11       0.000000000000e+00 
  278       6.450184054476e-10       7.414380059258e-13       1.387908159743e-11       0.000000000000e+00 
  279       6.409963324945e-10       7.608275925161e-13       1.402384726165e-11       0.000000000000e+00 
  280       6.369336779319e-10       7.804829762690e-13       1.416478357059e-11       0.000000000000e+00 
  281       6.328317721800e-10       8.004001150433e-13       1.430182298171e-11       0.000000000000e+00 
  282       6.286919718305e-10       8.205748002190e-13       1.443489814187e-11       0.000000000000e+00 
  283       6.245156597885e-10       8.410026551611e-13       1.456394189554e-11       0.000000000000e+00 
  284       6.203042454138e-10       8.616791336821e-13       1.468888729294e-11       0.000000000000e+00 
  285       6.160591646626e-10       8.825995185052e-13       1.480966759835e-11       0.000000000000e+00 
  286       6.117818802284e-10       9.037589197274e-13       1.492621629825e-11       0.000000000000e+00 
  287       6.074738816842e-10       9.251522732827e-13       1.503846710956e-11       0.000000000000e+00 
  288       6.031366856232e-10       9.467743394048e-13       1.514635398785e-11       0.000000000000e+00 
  289       5.987718358010e-10       9.686197010904e-13       1.524981113555e-11       0.000000000000e+00 
  290       5.943809032765e-10       9.906827625624e-13       1.534877301015e-11       0.000000000000e+00 
  291       5.899654865534e-10       1.012957747733e-12       1.544317433242e-11       0.000000000000e+00 
  292       5.855272117221e-10       1.035438698665e-12       1.553295009462e-11       0.000000000000e+00 
  293       5.810677326007e-10       1.058119474039e-12       1.561803556873e-11       0.000000000000e+00 
  294       5.765887308766e-10       1.080993747611e-12       1.569836631463e-11       0.000000000000e+00 
  295       5.720919162480e-10       1.104055006681e-12       1.577387818830e-11       0.000000000000e+00 
  296       5.675790265654e-10       1.127296550552e-12       1.584450735010e-11       0.000000000000e+00 
  297       5.630517221589e-10       1.150711666936e-12       1.591019679838e-11       0.000000000000e+00 
  298       5.585112628366e-10       1.174294173826e-12       1.597091630569e-11       0.000000000000e+00 
  299       5.539588154286e-10       1.198037901024e-12       1.602664346972e-11       0.000000000000e+00 
  300       5.493955581810e-10       1.221936513280e-12       1.607735729237e-11       0.000000000000e+00 
  301       5.448226807537e-10       1.245983509005e-12       1.612303819677e-11       0.000000000000e+00 
  302       5.402413842185e-10       1.270172218968e-12       1.616366804436e-11       0.000000000000e+00 
  303       5.356528810572e-10       1.294495805006e-12       1.619923015196e-11       0.000000000000e+00 
  304       5.310583951593e-10       1.318947258725e-12       1.622970930879e-11       0.000000000000e+00 
  305       5.264591618205e-10       1.343519400203e-12       1.625509179357e-11       0.000000000000e+00 
  306       5.218564277401e-10       1.368204876700e-12       1.627536539153e-11       0.000000000000e+00 
  307       5.172514510194e-10       1.392996161358e-12       1.629051941154e-11       0.000000000000e+00 
